42,490,000
42,935,000
42,770,000
42,340,000
41,410,000
41,950,000
42,110,000
41,600,000
40,920,000
39,980,000
41,680,000
42,180,000
42,390,000
42,020,000
41,830,000
41,490,000
40,670,000
40,540,000
40,180,000
40,675,000
39,960,000
39,520,000
39,386,000
39,240,000
38,900,000
38,450,000
38,160,000
38,970,000
38,210,000
37,840,000
37,450,000
37,570,000
36,900,000
36,120,000
36,630,000
36,210,000
36,200,000
37,170,000
36,180,000
34,700,000
35,710,000
36,830,000
37,050,000
34,660,000
34,600,000
33,850,000
33,550,000
33,820,000
35,060,000
35,000,000
33,800,000
34,800,000
36,500,000
35,800,000
36,170,000
36,550,000
37,650,000
38,920,000
38,800,000
38,950,000
37,770,000
37,580,000
37,430,000
39,030,000
37,130,000
37,650,000
37,550,000
36,500,000
38,450,000
39,400,000
39,950,000
39,600,000
39,300,000
41,750,000
42,500,000
43,150,000
45,250,000
46,100,000
40,950,000
37,800,000
43,800,000
44,000,000
45,700,000
49,900,000
51,000,000
51,300,000
51,700,000
54,150,000
49,200,000
47,630,000
44,850,000
46,050,000
45,080,000
45,880,000
45,450,000
45,530,000
44,350,000
44,000,000
44,030,000
43,910,000
44,030,000
43,800,000
41,900,000
41,450,000
44,550,000
43,800,000
45,350,000
45,700,000
45,750,000
44,400,000
41,740,000
40,330,000
40,480,000
40,740,000
40,250,000
39,720,000
38,540,000
37,980,000
38,180,000
38,380,000
38,650,000
38,700,000
38,010,000
37,780,000
37,150,000
38,000,000
38,000,000
37,330,000
38,750,000
38,450,000
36,980,000
38,400,000
38,160,000
38,150,000
37,650,000
30,600,000
34,350,000
36,650,000
37,310,000
39,050,000
40,600,000
37,880,000
39,050,000
45,110,000
38,700,000
35,250,000
34,750,000
33,510,000
34,730,000
32,535,000
34,035,000
31,570,000
29,930,000
29,930,000
28,925,000
28,600,000
27,450,000
28,240,000
28,570,000
27,000,000
27,150,000
26,600,000
27,400,000
28,500,000
28,720,000
28,920,000
28,830,000
27,470,000
28,700,000
29,560,000
29,830,000
29,920,000
28,625,000
29,200,000
29,000,000
28,700,000
28,220,000
28,160,000
29,760,000
28,210,000
25,945,000
25,820,000
25,530,000
25,200,000
24,930,000
24,535,000
23,830,000
23,865,000
23,955,000
25,125,000
25,245,000
24,755,000
24,535,000
23,270,000
22,250,000
22,440,000
22,150,000
22,210,000
21,745,000
21,380,000
21,550,000
21,495,000
21,450,000
20,775,000
20,450,000
20,310,000
19,960,000
20,360,000
19,560,000
20,070,000
19,360,000
20,130,000
19,760,000
19,750,000
19,380,000
19,050,000
19,040,000
19,790,000
20,580,000
21,030,000
20,190,000
20,020,000
18,980,000
20,370,000
20,475,000
19,600,000
19,000,000
18,550,000
18,450,000
18,000,000
17,670,000
17,470,000
17,600,000
17,700,000
18,200,000
18,350,000
18,290,000
18,400,000
17,970,000
18,560,000
17,810,000
